"date","region_code","region","country","population","cases_registered","cases_per_100000","intensive_care","intensive_care_per_1000000","deceassed","deceassed_per_100000","recovered","recovered_per_100000"
2020-03-23,1,"Andalucía","Spain",8414240,1961,23.31,77,0.92,58,0.69,50,5.94
2020-03-24,1,"Andalucía","Spain",8414240,2471,29.37,102,1.21,87,1.03,66,7.84
2020-02-27,2,"Aragón","Spain",1319291,0,0,NA,NA,NA,NA,NA,NA
2020-02-28,2,"Aragón","Spain",1319291,1,0.08,NA,NA,NA,NA,NA,NA
2020-02-29,2,"Aragón","Spain",1319291,1,0.08,NA,NA,NA,NA,NA,NA
2020-03-01,2,"Aragón","Spain",1319291,0,0,NA,NA,NA,NA,NA,NA
2020-03-02,2,"Aragón","Spain",1319291,0,0,NA,NA,NA,NA,NA,NA
2020-03-03,2,"Aragón","Spain",1319291,0,0,NA,NA,0,0,NA,NA
2020-03-04,2,"Aragón","Spain",1319291,0,0,0,0,0,0,NA,NA
2020-03-05,2,"Aragón","Spain",1319291,1,0.08,1,0.08,0,0,NA,NA
2020-03-06,2,"Aragón","Spain",1319291,6,0.45,1,0.08,1,0.08,NA,NA
2020-03-07,2,"Aragón","Spain",1319291,11,0.83,NA,NA,1,0.08,NA,NA
2020-03-08,2,"Aragón","Spain",1319291,13,0.99,NA,NA,2,0.15,NA,NA
2020-03-09,2,"Aragón","Spain",1319291,13,0.99,1,0.08,2,0.15,NA,NA
2020-03-10,2,"Aragón","Spain",1319291,38,2.88,3,0.23,3,0.23,NA,NA
2020-03-11,2,"Aragón","Spain",1319291,45,3.41,3,0.23,4,0.3,NA,NA
2020-03-12,2,"Aragón","Spain",1319291,64,4.85,3,0.23,6,0.45,NA,NA
2020-03-13,2,"Aragón","Spain",1319291,80,6.06,3,0.23,7,0.53,NA,NA
2020-03-14,2,"Aragón","Spain",1319291,80,6.06,NA,NA,7,0.53,NA,NA
2020-03-15,2,"Aragón","Spain",1319291,147,11.14,NA,NA,7,0.53,NA,NA
2020-03-16,2,"Aragón","Spain",1319291,174,13.19,7,0.53,11,0.83,0,0
2020-03-17,2,"Aragón","Spain",1319291,207,15.69,9,0.68,12,0.91,0,0
2020-03-18,2,"Aragón","Spain",1319291,226,17.13,9,0.68,13,0.99,0,0
2020-03-19,2,"Aragón","Spain",1319291,281,21.3,14,1.06,15,1.14,0,0
2020-03-20,2,"Aragón","Spain",1319291,360,27.29,28,2.12,17,1.29,0,0
2020-03-21,2,"Aragón","Spain",1319291,424,32.14,33,2.5,22,1.67,0,0
2020-03-22,2,"Aragón","Spain",1319291,532,40.32,45,3.41,24,1.82,3,2.27
2020-03-23,2,"Aragón","Spain",1319291,638,48.36,52,3.94,32,2.43,3,2.27
2020-03-24,2,"Aragón","Spain",1319291,758,57.46,66,5,37,2.8,3,2.27
2020-02-27,3,"Asturias","Spain",1022800,0,0,NA,NA,NA,NA,NA,NA
2020-02-28,3,"Asturias","Spain",1022800,0,0,NA,NA,NA,NA,NA,NA
2020-02-29,3,"Asturias","Spain",1022800,0,0,NA,NA,NA,NA,NA,NA
2020-03-01,3,"Asturias","Spain",1022800,1,0.1,NA,NA,NA,NA,NA,NA
2020-03-02,3,"Asturias","Spain",1022800,1,0.1,NA,NA,NA,NA,NA,NA
2020-03-03,3,"Asturias","Spain",1022800,1,0.1,NA,NA,0,0,NA,NA
2020-03-04,3,"Asturias","Spain",1022800,2,0.2,1,0.1,0,0,NA,NA
2020-03-05,3,"Asturias","Spain",1022800,5,0.49,2,0.2,0,0,NA,NA
2020-03-06,3,"Asturias","Spain",1022800,5,0.49,2,0.2,0,0,NA,NA
2020-03-07,3,"Asturias","Spain",1022800,5,0.49,NA,NA,0,0,NA,NA
2020-03-08,3,"Asturias","Spain",1022800,7,0.68,NA,NA,0,0,NA,NA
2020-03-09,3,"Asturias","Spain",1022800,7,0.68,2,0.2,0,0,NA,NA
2020-03-10,3,"Asturias","Spain",1022800,22,2.15,2,0.2,0,0,NA,NA
2020-03-11,3,"Asturias","Spain",1022800,32,3.13,2,0.2,0,0,NA,NA
2020-03-12,3,"Asturias","Spain",1022800,47,4.6,2,0.2,1,0.1,NA,NA
2020-03-13,3,"Asturias","Spain",1022800,67,6.55,2,0.2,1,0.1,NA,NA
2020-03-14,3,"Asturias","Spain",1022800,92,8.99,NA,NA,1,0.1,NA,NA
2020-03-15,3,"Asturias","Spain",1022800,137,13.39,NA,NA,1,0.1,NA,NA
2020-03-16,3,"Asturias","Spain",1022800,177,17.31,3,0.29,1,0.1,3,2.93
2020-03-17,3,"Asturias","Spain",1022800,193,18.87,5,0.49,1,0.1,3,2.93
2020-03-18,3,"Asturias","Spain",1022800,242,23.66,5,0.49,1,0.1,4,3.91
2020-03-19,3,"Asturias","Spain",1022800,292,28.55,6,0.59,1,0.1,4,3.91
2020-03-20,3,"Asturias","Spain",1022800,344,33.63,7,0.68,2,0.2,12,11.73
2020-03-21,3,"Asturias","Spain",1022800,486,47.52,12,1.17,5,0.49,16,15.64
2020-03-22,3,"Asturias","Spain",1022800,545,53.29,15,1.47,8,0.78,20,19.55
2020-03-23,3,"Asturias","Spain",1022800,594,58.08,22,2.15,12,1.17,21,20.53
2020-03-24,3,"Asturias","Spain",1022800,662,64.72,23,2.25,22,2.15,30,29.33
2020-02-27,4,"Baleares","Spain",1149460,1,0.09,NA,NA,NA,NA,NA,NA
2020-02-28,4,"Baleares","Spain",1149460,1,0.09,NA,NA,NA,NA,NA,NA
2020-02-29,4,"Baleares","Spain",1149460,2,0.17,NA,NA,NA,NA,NA,NA
2020-03-01,4,"Baleares","Spain",1149460,2,0.17,NA,NA,NA,NA,NA,NA
2020-03-02,4,"Baleares","Spain",1149460,2,0.17,NA,NA,NA,NA,NA,NA
2020-03-03,4,"Baleares","Spain",1149460,2,0.17,NA,NA,0,0,NA,NA
2020-03-04,4,"Baleares","Spain",1149460,5,0.43,0,0,0,0,NA,NA
2020-03-05,4,"Baleares","Spain",1149460,6,0.52,0,0,0,0,NA,NA
2020-03-06,4,"Baleares","Spain",1149460,6,0.52,0,0,0,0,NA,NA
2020-03-07,4,"Baleares","Spain",1149460,6,0.52,NA,NA,0,0,NA,NA
2020-03-08,4,"Baleares","Spain",1149460,8,0.7,NA,NA,0,0,NA,NA
2020-03-09,4,"Baleares","Spain",1149460,11,0.96,0,0,0,0,NA,NA
2020-03-10,4,"Baleares","Spain",1149460,13,1.13,1,0.09,0,0,NA,NA
2020-03-11,4,"Baleares","Spain",1149460,16,1.39,1,0.09,0,0,NA,NA
2020-03-12,4,"Baleares","Spain",1149460,22,1.91,2,0.17,1,0.09,NA,NA
2020-03-13,4,"Baleares","Spain",1149460,30,2.61,2,0.17,1,0.09,NA,NA
2020-03-14,4,"Baleares","Spain",1149460,28,2.44,NA,NA,1,0.09,NA,NA
2020-03-15,4,"Baleares","Spain",1149460,28,2.44,NA,NA,1,0.09,NA,NA
2020-03-16,4,"Baleares","Spain",1149460,73,6.35,4,0.35,1,0.09,1,0.87
2020-03-17,4,"Baleares","Spain",1149460,92,8,4,0.35,1,0.09,1,0.87
2020-03-18,4,"Baleares","Spain",1149460,112,9.74,4,0.35,1,0.09,4,3.48
2020-03-19,4,"Baleares","Spain",1149460,169,14.7,7,0.61,2,0.17,6,5.22
2020-03-20,4,"Baleares","Spain",1149460,203,17.66,10,0.87,2,0.17,10,8.7
2020-03-21,4,"Baleares","Spain",1149460,246,21.4,14,1.22,4,0.35,11,9.57
2020-03-22,4,"Baleares","Spain",1149460,331,28.8,14,1.22,4,0.35,17,14.79
2020-03-23,4,"Baleares","Spain",1149460,400,34.8,27,2.35,10,0.87,18,15.66
2020-03-24,4,"Baleares","Spain",1149460,478,41.58,35,3.04,10,0.87,19,16.53
2020-02-27,10,"C. Valenciana","Spain",5003769,2,0.04,NA,NA,NA,NA,NA,NA
2020-02-28,10,"C. Valenciana","Spain",5003769,8,0.16,NA,NA,NA,NA,NA,NA
2020-02-29,10,"C. Valenciana","Spain",5003769,10,0.2,NA,NA,NA,NA,NA,NA
2020-03-01,10,"C. Valenciana","Spain",5003769,15,0.3,NA,NA,NA,NA,NA,NA
2020-03-02,10,"C. Valenciana","Spain",5003769,15,0.3,NA,NA,NA,NA,NA,NA
2020-03-03,10,"C. Valenciana","Spain",5003769,15,0.3,NA,NA,0,0,NA,NA
2020-03-04,10,"C. Valenciana","Spain",5003769,19,0.38,0,0,1,0.02,NA,NA
2020-03-05,10,"C. Valenciana","Spain",5003769,19,0.38,0,0,1,0.02,NA,NA
2020-03-06,10,"C. Valenciana","Spain",5003769,30,0.6,1,0.02,1,0.02,NA,NA
2020-03-07,10,"C. Valenciana","Spain",5003769,30,0.6,NA,NA,1,0.02,NA,NA
2020-03-08,10,"C. Valenciana","Spain",5003769,37,0.74,NA,NA,1,0.02,NA,NA
2020-03-09,10,"C. Valenciana","Spain",5003769,37,0.74,1,0.02,1,0.02,NA,NA
2020-03-10,10,"C. Valenciana","Spain",5003769,50,1,1,0.02,1,0.02,NA,NA
2020-03-11,10,"C. Valenciana","Spain",5003769,65,1.3,1,0.02,1,0.02,NA,NA
2020-03-12,10,"C. Valenciana","Spain",5003769,76,1.52,2,0.04,1,0.02,NA,NA
2020-03-13,10,"C. Valenciana","Spain",5003769,94,1.88,2,0.04,1,0.02,NA,NA
2020-03-14,10,"C. Valenciana","Spain",5003769,130,2.6,NA,NA,4,0.08,NA,NA
2020-03-15,10,"C. Valenciana","Spain",5003769,409,8.17,NA,NA,5,0.1,NA,NA
2020-03-16,10,"C. Valenciana","Spain",5003769,409,8.17,4,0.08,5,0.1,2,0.4
2020-03-17,10,"C. Valenciana","Spain",5003769,541,10.81,27,0.54,13,0.26,12,2.4
2020-03-18,10,"C. Valenciana","Spain",5003769,726,14.51,40,0.8,22,0.44,16,3.2
2020-03-19,10,"C. Valenciana","Spain",5003769,921,18.41,52,1.04,24,0.48,19,3.8
2020-03-20,10,"C. Valenciana","Spain",5003769,1105,22.08,71,1.42,33,0.66,20,4
2020-03-21,10,"C. Valenciana","Spain",5003769,1363,27.24,84,1.68,50,1,25,5
2020-03-22,10,"C. Valenciana","Spain",5003769,1604,32.06,113,2.26,69,1.38,30,6
2020-03-23,10,"C. Valenciana","Spain",5003769,1901,37.99,138,2.76,94,1.88,36,7.19
2020-03-24,10,"C. Valenciana","Spain",5003769,2167,43.31,161,3.22,115,2.3,37,7.39
2020-02-27,5,"Canarias","Spain",2153389,6,0.28,NA,NA,NA,NA,NA,NA
2020-02-28,5,"Canarias","Spain",2153389,6,0.28,NA,NA,NA,NA,NA,NA
2020-02-29,5,"Canarias","Spain",2153389,6,0.28,NA,NA,NA,NA,NA,NA
2020-03-01,5,"Canarias","Spain",2153389,7,0.33,NA,NA,NA,NA,NA,NA
2020-03-02,5,"Canarias","Spain",2153389,7,0.33,NA,NA,NA,NA,NA,NA
2020-03-03,5,"Canarias","Spain",2153389,7,0.33,NA,NA,0,0,NA,NA
2020-03-04,5,"Canarias","Spain",2153389,7,0.33,0,0,0,0,NA,NA
2020-03-05,5,"Canarias","Spain",2153389,8,0.37,0,0,0,0,NA,NA
2020-03-06,5,"Canarias","Spain",2153389,11,0.51,0,0,0,0,NA,NA
2020-03-07,5,"Canarias","Spain",2153389,18,0.84,NA,NA,0,0,NA,NA
2020-03-08,5,"Canarias","Spain",2153389,17,0.79,NA,NA,0,0,NA,NA
2020-03-09,5,"Canarias","Spain",2153389,22,1.02,0,0,0,0,NA,NA
2020-03-10,5,"Canarias","Spain",2153389,25,1.16,1,0.05,0,0,NA,NA
2020-03-11,5,"Canarias","Spain",2153389,37,1.72,1,0.05,0,0,NA,NA
2020-03-12,5,"Canarias","Spain",2153389,51,2.37,3,0.14,0,0,NA,NA
2020-03-13,5,"Canarias","Spain",2153389,70,3.25,2,0.09,0,0,NA,NA
2020-03-14,5,"Canarias","Spain",2153389,90,4.18,NA,NA,1,0.05,NA,NA
2020-03-15,5,"Canarias","Spain",2153389,109,5.06,NA,NA,1,0.05,NA,NA
2020-03-16,5,"Canarias","Spain",2153389,119,5.53,9,0.42,1,0.05,7,3.25
2020-03-17,5,"Canarias","Spain",2153389,148,6.87,13,0.6,2,0.09,8,3.72
2020-03-18,5,"Canarias","Spain",2153389,181,8.41,17,0.79,3,0.14,8,3.72
2020-03-19,5,"Canarias","Spain",2153389,220,10.22,23,1.07,3,0.14,9,4.18
2020-03-20,5,"Canarias","Spain",2153389,287,13.33,25,1.16,4,0.19,6,2.79
2020-03-21,5,"Canarias","Spain",2153389,348,16.16,29,1.35,7,0.33,7,3.25
2020-03-22,5,"Canarias","Spain",2153389,414,19.23,32,1.49,9,0.42,7,3.25
2020-03-23,5,"Canarias","Spain",2153389,481,22.34,32,1.49,11,0.51,7,3.25
2020-03-24,5,"Canarias","Spain",2153389,557,25.87,36,1.67,16,0.74,8,3.72
2020-02-27,6,"Cantabria","Spain",581078,0,0,NA,NA,NA,NA,NA,NA
2020-02-28,6,"Cantabria","Spain",581078,0,0,NA,NA,NA,NA,NA,NA
2020-02-29,6,"Cantabria","Spain",581078,0,0,NA,NA,NA,NA,NA,NA
2020-03-01,6,"Cantabria","Spain",581078,1,0.17,NA,NA,NA,NA,NA,NA
2020-03-02,6,"Cantabria","Spain",581078,10,1.72,NA,NA,NA,NA,NA,NA
2020-03-03,6,"Cantabria","Spain",581078,10,1.72,NA,NA,0,0,NA,NA
2020-03-04,6,"Cantabria","Spain",581078,10,1.72,0,0,0,0,NA,NA
2020-03-05,6,"Cantabria","Spain",581078,10,1.72,0,0,0,0,NA,NA
2020-03-06,6,"Cantabria","Spain",581078,10,1.72,0,0,0,0,NA,NA
2020-03-07,6,"Cantabria","Spain",581078,10,1.72,NA,NA,0,0,NA,NA
2020-03-08,6,"Cantabria","Spain",581078,12,2.07,NA,NA,0,0,NA,NA
2020-03-09,6,"Cantabria","Spain",581078,12,2.07,0,0,0,0,NA,NA
2020-03-10,6,"Cantabria","Spain",581078,12,2.07,0,0,0,0,NA,NA
2020-03-11,6,"Cantabria","Spain",581078,12,2.07,0,0,0,0,NA,NA
2020-03-12,6,"Cantabria","Spain",581078,16,2.75,0,0,0,0,NA,NA
2020-03-13,6,"Cantabria","Spain",581078,29,4.99,0,0,0,0,NA,NA
2020-03-14,6,"Cantabria","Spain",581078,31,5.33,NA,NA,0,0,NA,NA
2020-03-15,6,"Cantabria","Spain",581078,51,8.78,NA,NA,0,0,NA,NA
2020-03-16,6,"Cantabria","Spain",581078,58,9.98,2,0.34,0,0,10,17.21
2020-03-17,6,"Cantabria","Spain",581078,58,9.98,2,0.34,0,0,10,17.21
2020-03-18,6,"Cantabria","Spain",581078,68,11.7,3,0.52,1,0.17,10,17.21
2020-03-19,6,"Cantabria","Spain",581078,83,14.28,4,0.69,1,0.17,10,17.21
2020-03-20,6,"Cantabria","Spain",581078,144,24.78,7,1.2,1,0.17,10,17.21
2020-03-21,6,"Cantabria","Spain",581078,215,37,9,1.55,2,0.34,11,18.93
2020-03-22,6,"Cantabria","Spain",581078,282,48.53,9,1.55,5,0.86,11,18.93
2020-03-23,6,"Cantabria","Spain",581078,347,59.72,14,2.41,6,1.03,11,18.93
2020-03-24,6,"Cantabria","Spain",581078,425,73.14,16,2.75,9,1.55,12,20.65
2020-02-27,7,"Castilla y León","Spain",2399548,0,0,NA,NA,NA,NA,NA,NA
2020-02-28,7,"Castilla y León","Spain",2399548,2,0.08,NA,NA,NA,NA,NA,NA
2020-02-29,7,"Castilla y León","Spain",2399548,2,0.08,NA,NA,NA,NA,NA,NA
2020-03-01,7,"Castilla y León","Spain",2399548,3,0.13,NA,NA,NA,NA,NA,NA
2020-03-02,7,"Castilla y León","Spain",2399548,3,0.13,NA,NA,NA,NA,NA,NA
2020-03-03,7,"Castilla y León","Spain",2399548,8,0.33,NA,NA,0,0,NA,NA
2020-03-04,7,"Castilla y León","Spain",2399548,11,0.46,1,0.04,0,0,NA,NA
2020-03-05,7,"Castilla y León","Spain",2399548,11,0.46,1,0.04,0,0,NA,NA
2020-03-06,7,"Castilla y León","Spain",2399548,14,0.58,1,0.04,0,0,NA,NA
2020-03-07,7,"Castilla y León","Spain",2399548,14,0.58,NA,NA,0,0,NA,NA
2020-03-08,7,"Castilla y León","Spain",2399548,22,0.92,NA,NA,0,0,NA,NA
2020-03-09,7,"Castilla y León","Spain",2399548,23,0.96,1,0.04,0,0,NA,NA
2020-03-10,7,"Castilla y León","Spain",2399548,56,2.33,2,0.08,0,0,NA,NA
2020-03-11,7,"Castilla y León","Spain",2399548,71,2.96,2,0.08,0,0,NA,NA
2020-03-12,7,"Castilla y León","Spain",2399548,92,3.83,4,0.17,0,0,NA,NA
2020-03-13,7,"Castilla y León","Spain",2399548,169,7.04,8,0.33,1,0.04,NA,NA
2020-03-14,7,"Castilla y León","Spain",2399548,223,9.29,NA,NA,3,0.13,NA,NA
2020-03-15,7,"Castilla y León","Spain",2399548,292,12.17,NA,NA,6,0.25,NA,NA
2020-03-16,7,"Castilla y León","Spain",2399548,334,13.92,24,1,9,0.38,5,2.08
2020-03-17,7,"Castilla y León","Spain",2399548,431,17.96,24,1,12,0.5,5,2.08
2020-03-18,7,"Castilla y León","Spain",2399548,668,27.84,43,1.79,22,0.92,5,2.08
2020-03-19,7,"Castilla y León","Spain",2399548,868,36.17,54,2.25,29,1.21,27,11.25
2020-03-20,7,"Castilla y León","Spain",2399548,1147,47.8,69,2.88,43,1.79,37,15.42
2020-03-21,7,"Castilla y León","Spain",2399548,1466,61.09,85,3.54,55,2.29,54,22.5
2020-03-22,7,"Castilla y León","Spain",2399548,1744,72.68,106,4.42,74,3.08,89,37.09
2020-03-23,7,"Castilla y León","Spain",2399548,2055,85.64,120,5,102,4.25,117,48.76
2020-03-24,7,"Castilla y León","Spain",2399548,2460,102.52,137,5.71,124,5.17,140,58.34
2020-02-27,8,"Castilla-La Mancha","Spain",2032863,0,0,NA,NA,NA,NA,NA,NA
2020-02-28,8,"Castilla-La Mancha","Spain",2032863,0,0,NA,NA,NA,NA,NA,NA
2020-02-29,8,"Castilla-La Mancha","Spain",2032863,0,0,NA,NA,NA,NA,NA,NA
2020-03-01,8,"Castilla-La Mancha","Spain",2032863,1,0.05,NA,NA,NA,NA,NA,NA
2020-03-02,8,"Castilla-La Mancha","Spain",2032863,3,0.15,NA,NA,NA,NA,NA,NA
2020-03-03,8,"Castilla-La Mancha","Spain",2032863,7,0.34,NA,NA,0,0,NA,NA
2020-03-04,8,"Castilla-La Mancha","Spain",2032863,12,0.59,1,0.05,0,0,NA,NA
2020-03-05,8,"Castilla-La Mancha","Spain",2032863,13,0.64,1,0.05,0,0,NA,NA
2020-03-06,8,"Castilla-La Mancha","Spain",2032863,15,0.74,1,0.05,0,0,NA,NA
2020-03-07,8,"Castilla-La Mancha","Spain",2032863,15,0.74,NA,NA,0,0,NA,NA
2020-03-08,8,"Castilla-La Mancha","Spain",2032863,15,0.74,NA,NA,0,0,NA,NA
2020-03-09,8,"Castilla-La Mancha","Spain",2032863,26,1.28,2,0.1,0,0,NA,NA
2020-03-10,8,"Castilla-La Mancha","Spain",2032863,39,1.92,2,0.1,0,0,NA,NA
2020-03-11,8,"Castilla-La Mancha","Spain",2032863,71,3.49,5,0.25,0,0,NA,NA
2020-03-12,8,"Castilla-La Mancha","Spain",2032863,115,5.66,9,0.44,1,0.05,NA,NA
2020-03-13,8,"Castilla-La Mancha","Spain",2032863,194,9.54,10,0.49,5,0.25,NA,NA
2020-03-14,8,"Castilla-La Mancha","Spain",2032863,289,14.22,NA,NA,6,0.3,NA,NA
2020-03-15,8,"Castilla-La Mancha","Spain",2032863,401,19.73,NA,NA,10,0.49,NA,NA
2020-03-16,8,"Castilla-La Mancha","Spain",2032863,567,27.89,23,1.13,17,0.84,12,5.9
2020-03-17,8,"Castilla-La Mancha","Spain",2032863,567,27.89,23,1.13,17,0.84,12,5.9
2020-03-18,8,"Castilla-La Mancha","Spain",2032863,675,33.2,29,1.43,28,1.38,15,7.38
2020-03-19,8,"Castilla-La Mancha","Spain",2032863,801,39.4,37,1.82,42,2.07,27,13.28
2020-03-20,8,"Castilla-La Mancha","Spain",2032863,1044,51.36,53,2.61,42,2.07,34,16.73
2020-03-21,8,"Castilla-La Mancha","Spain",2032863,1423,70,65,3.2,84,4.13,38,18.69
2020-03-22,8,"Castilla-La Mancha","Spain",2032863,1819,89.48,76,3.74,112,5.51,48,23.61
2020-03-23,8,"Castilla-La Mancha","Spain",2032863,2078,102.22,142,6.99,145,7.13,51,25.09
2020-03-24,8,"Castilla-La Mancha","Spain",2032863,2465,121.26,182,8.95,216,10.63,53,26.07
2020-02-27,9,"Cataluña","Spain",7675217,2,0.03,NA,NA,NA,NA,NA,NA
2020-02-28,9,"Cataluña","Spain",7675217,3,0.04,NA,NA,NA,NA,NA,NA
2020-02-29,9,"Cataluña","Spain",7675217,5,0.07,NA,NA,NA,NA,NA,NA
2020-03-01,9,"Cataluña","Spain",7675217,6,0.08,NA,NA,NA,NA,NA,NA
2020-03-02,9,"Cataluña","Spain",7675217,15,0.2,NA,NA,NA,NA,NA,NA
2020-03-03,9,"Cataluña","Spain",7675217,15,0.2,NA,NA,0,0,NA,NA
2020-03-04,9,"Cataluña","Spain",7675217,15,0.2,0,0,0,0,NA,NA
2020-03-05,9,"Cataluña","Spain",7675217,24,0.31,0,0,0,0,NA,NA
2020-03-06,9,"Cataluña","Spain",7675217,24,0.31,0,0,0,0,NA,NA
2020-03-07,9,"Cataluña","Spain",7675217,24,0.31,NA,NA,1,0.01,NA,NA
2020-03-08,9,"Cataluña","Spain",7675217,49,0.64,NA,NA,1,0.01,NA,NA
2020-03-09,9,"Cataluña","Spain",7675217,75,0.98,0,0,1,0.01,NA,NA
2020-03-10,9,"Cataluña","Spain",7675217,124,1.62,0,0,3,0.04,NA,NA
2020-03-11,9,"Cataluña","Spain",7675217,156,2.03,0,0,3,0.04,NA,NA
2020-03-12,9,"Cataluña","Spain",7675217,260,3.39,0,0,4,0.05,NA,NA
2020-03-13,9,"Cataluña","Spain",7675217,316,4.12,25,0.33,4,0.05,NA,NA
2020-03-14,9,"Cataluña","Spain",7675217,509,6.63,NA,NA,6,0.08,NA,NA
2020-03-15,9,"Cataluña","Spain",7675217,715,9.32,NA,NA,8,0.1,NA,NA
2020-03-16,9,"Cataluña","Spain",7675217,903,11.77,33,0.43,12,0.16,0,0
2020-03-17,9,"Cataluña","Spain",7675217,1394,18.16,33,0.43,18,0.23,0,0
2020-03-18,9,"Cataluña","Spain",7675217,1866,24.31,33,0.43,41,0.53,0,0
2020-03-19,9,"Cataluña","Spain",7675217,2702,35.2,33,0.43,55,0.72,0,0
2020-03-20,9,"Cataluña","Spain",7675217,3270,42.6,33,0.43,82,1.07,150,19.54
2020-03-21,9,"Cataluña","Spain",7675217,4203,54.76,298,3.88,122,1.59,150,19.54
2020-03-22,9,"Cataluña","Spain",7675217,4704,61.29,298,3.88,191,2.49,150,19.54
2020-03-23,9,"Cataluña","Spain",7675217,5925,77.2,551,7.18,245,3.19,644,83.91
2020-03-24,9,"Cataluña","Spain",7675217,7864,102.46,551,7.18,282,3.67,728,94.85
2020-02-27,18,"Ceuta","Spain",84777,0,0,NA,NA,NA,NA,NA,NA
2020-02-28,18,"Ceuta","Spain",84777,0,0,NA,NA,NA,NA,NA,NA
2020-02-29,18,"Ceuta","Spain",84777,0,0,NA,NA,NA,NA,NA,NA
2020-03-01,18,"Ceuta","Spain",84777,0,0,NA,NA,NA,NA,NA,NA
2020-03-02,18,"Ceuta","Spain",84777,0,0,NA,NA,NA,NA,NA,NA
2020-03-03,18,"Ceuta","Spain",84777,0,0,NA,NA,0,0,NA,NA
2020-03-04,18,"Ceuta","Spain",84777,0,0,0,0,0,0,NA,NA
2020-03-05,18,"Ceuta","Spain",84777,0,0,0,0,0,0,NA,NA
2020-03-06,18,"Ceuta","Spain",84777,0,0,0,0,0,0,NA,NA
2020-03-07,18,"Ceuta","Spain",84777,0,0,NA,NA,0,0,NA,NA
2020-03-08,18,"Ceuta","Spain",84777,0,0,NA,NA,0,0,NA,NA
2020-03-09,18,"Ceuta","Spain",84777,0,0,0,0,0,0,NA,NA
2020-03-10,18,"Ceuta","Spain",84777,0,0,0,0,0,0,NA,NA
2020-03-11,18,"Ceuta","Spain",84777,0,0,0,0,0,0,NA,NA
2020-03-12,18,"Ceuta","Spain",84777,0,0,0,0,0,0,NA,NA
2020-03-13,18,"Ceuta","Spain",84777,0,0,0,0,0,0,NA,NA
2020-03-14,18,"Ceuta","Spain",84777,0,0,NA,NA,0,0,NA,NA
2020-03-15,18,"Ceuta","Spain",84777,1,1.18,NA,NA,0,0,NA,NA
2020-03-16,18,"Ceuta","Spain",84777,1,1.18,0,0,0,0,0,0
2020-03-17,18,"Ceuta","Spain",84777,1,1.18,0,0,0,0,0,0
2020-03-18,18,"Ceuta","Spain",84777,1,1.18,0,0,0,0,0,0
2020-03-19,18,"Ceuta","Spain",84777,1,1.18,0,0,0,0,0,0
2020-03-20,18,"Ceuta","Spain",84777,5,5.9,0,0,0,0,0,0
2020-03-21,18,"Ceuta","Spain",84777,5,5.9,0,0,0,0,0,0
2020-03-22,18,"Ceuta","Spain",84777,5,5.9,0,0,0,0,0,0
